gene	t00_rep2plusextra	t05_rep2	t1_rep2	t2_rep2	t3_rep2	t4_rep2	t5_rep2	t6_rep2	t7_rep2	t8_rep2	t10_rep2	t12_rep2
ENSG00000138759.16	1.90551405749	2.11748068398	1.9614288723	1.54300041699	1.70078338125	1.80963543527	1.90251385287	1.67223837087	1.91600201411	1.89869303381	1.6903823652	1.89659038591
ENSG00000138772.11	4.89713715775	4.87795066725	4.99410322208	4.8420233261	4.8967745702	4.93542760013	4.81690723994	4.86262054958	4.77480133237	4.75135899999	4.78425932739	4.75516681963
ENSG00000138756.16	3.23811228312	3.28260281257	3.28138483416	2.95125472125	2.99901907699	3.17366506092	3.30402419604	3.13018603699	3.1683643187	2.92985090662	2.97704239909	3.04089383117
ENSG00000145284.10	3.16519217633	3.23319206235	3.11167683622	3.12652780568	2.98113671416	3.13704873739	3.03202746262	3.00176036468	3.0892044282	2.95360133886	2.87426902087	2.91950971562
ENSG00000138678.9	4.16577744416	4.14856539299	4.44432840403	4.49889604812	4.48128971761	4.39516471635	4.33640695148	4.41653425727	4.39124302784	4.31308860261	4.23554645263	4.39325409348
ENSG00000163624.5	1.65861014347	1.68791626868	1.53751359833	1.42306056359	1.2224465741	1.34054820245	1.30085912078	1.12583911766	1.23392395779	1.109309654	1.22514617474	1.17595563606
ENSG00000138639.16	1.2309055041	1.10369136287	1.28819426884	1.01479007955	1.42801540902	1.46562818792	1.25171118356	1.33278373284	1.34268477649	1.44345459457	1.45761816029	1.5282939758
ENSG00000163633.9	1.35403111563	1.40838215957	1.37903789029	1.53626452428	1.54156267351	1.35475176939	1.48251997328	1.45781885655	1.41910967616	1.48759488821	1.34043455724	1.46158113094
ENSG00000172493.19	3.54631995563	3.59900811255	3.72515519593	3.57697660804	3.67849970945	3.7855407471	3.92581678206	3.78968533351	3.93150367388	3.84233044775	3.8830006928	3.97854400028
ENSG00000145332.12	3.06787726653	3.03126211093	3.12927288236	2.88003136449	2.85291494038	2.91669152148	2.9303464953	2.80932877608	2.82920510953	2.61684945038	2.64458523856	2.75716450344
ENSG00000138641.14	2.70143340615	2.63877122298	2.86679530125	2.78267069236	2.84710633013	2.98244396175	3.12071061446	3.05037456253	3.08221526666	3.05110008106	3.31905500134	3.38267260126
ENSG00000180346.3	3.18605742298	3.39880004591	3.76965126212	3.69858571084	3.52587070626	3.44773379758	3.31278225971	3.29795698641	3.37659242026	3.0183336845	2.99837457619	3.15481848541
ENSG00000168785.6	2.86678773324	2.80436251562	2.79419954182	2.65184821828	2.52532252014	2.54162799994	2.4063940134	2.35486584747	2.18297115696	2.06576392086	1.85229400549	1.9958285415
ENSG00000151247.11	2.62638983894	2.61013639228	2.74747296992	2.60074081964	2.50432294952	2.5153876728	2.53881592418	2.47279899418	2.5591414769	2.50771976101	2.40239549782	2.67644159697
ENSG00000109270.11	2.96152766689	2.85286962592	2.75442790288	2.78516222234	2.79934649643	2.82358465527	3.09511604041	2.97246695617	2.95510273335	2.71635073864	2.79702726634	2.8578049382
ENSG00000164032.10	6.80647743659	6.84994852164	6.82789351295	6.8813798297	6.82344540444	6.78300378898	6.76651880941	6.75127124473	6.64011185436	6.64256160126	6.60324953592	6.57374773886
ENSG00000109323.7	2.69303946212	2.64972021568	2.70207572413	2.75211859317	2.87139759299	2.91633250501	2.81966395999	2.84389921583	3.07684899547	3.08437350651	3.24437113799	3.22191445716
ENSG00000164039.13	2.28675366046	2.3085451281	2.27009370055	2.21372821153	2.10240558099	2.14975637131	2.36520386992	2.26057882892	2.44777019169	2.22150461	2.28456542101	2.40835755786
ENSG00000138780.13	3.39214712118	3.35393363864	3.32867597808	3.27662093861	3.29698649827	3.30343057142	3.26713482882	3.18071133932	3.25319662036	3.14141208002	3.04399489583	3.17048693245
ENSG00000145348.15	1.82914892708	1.9178135379	1.63061523329	1.5596104873	1.52573727518	1.63411298013	1.75513574904	1.63032636663	1.9601187336	1.7797083534	1.94789017574	1.95079266865
ENSG00000164023.13	3.27914529055	3.33512853995	3.40872975004	3.38056948901	3.45418218187	3.62924715393	4.0111729581	3.97819872898	3.98169571811	3.74497225081	4.00592072064	4.04126827457
ENSG00000170522.8	3.43711506561	3.5175878636	3.45060863607	3.35697419673	3.34629605821	3.34017500027	3.33536767775	3.32274241793	3.44233150882	3.41635172579	3.51497112463	3.6665124698
ENSG00000138658.14	2.40410938403	2.42324568754	2.58037913441	2.38955873131	2.36266004103	2.37153196043	2.41170493689	2.1925749578	2.0753131221	1.99087436886	1.6782567509	1.71610921566
ENSG00000180801.12	2.46221948035	2.61110260522	2.5633938441	2.45346141864	2.47136108709	2.45762143977	2.3220304912	2.2398386121	2.13412990531	1.97663668403	1.85177121963	2.0043874028
ENSG00000174599.5	1.03129014815	1.27953419868	1.18142651346	1.07183648086	1.1444793067	0.940832598654	1.19563276332	1.1285827166	1.26435609924	1.19741185405	1.57411127366	1.65339109663
ENSG00000145390.10	2.88655376371	2.94868730862	3.13356922933	3.09357950287	3.04879293442	3.10291929072	3.07008942821	3.0069218458	3.01415480661	2.88941675768	2.77753801212	2.85387643939
ENSG00000164096.12	4.20102455809	4.25912146468	4.21129521849	4.02993071907	4.09627423512	4.06465596917	4.10006752807	4.11187569636	4.05643586871	3.91208328912	3.89526412036	4.20451958889
ENSG00000164109.12	4.22779002084	4.18650484688	4.4120542576	4.13231978695	4.08646917334	4.08979412735	4.09282831487	3.98975168115	3.78945596085	3.66883662892	3.49914813692	3.71352500935
ENSG00000123737.11	3.90514875798	3.84795813362	4.11521007392	4.05238045473	4.01854685597	3.89252889816	3.84357966729	3.83751676778	3.61420907294	3.65456036858	3.54009260861	3.44234853536
ENSG00000181004.8	2.46851660196	2.21107504208	2.3560700796	2.33704829835	2.35146356712	2.40771488659	2.32081042187	2.44792989184	2.57099866691	2.41991298774	2.86020098514	2.80579864699
ENSG00000145375.7	2.8941699149	2.91015328453	2.97871599771	2.90928201157	2.92523577217	2.88486424595	2.89466879838	2.82006330215	2.71870598063	2.73060129967	2.56782580312	2.71201219527
ENSG00000164056.9	0.832844816882	1.7060928035	1.88116463087	2.35744653455	2.11032706724	2.26769897346	2.29505938987	2.13164792222	2.16377122745	1.86263487394	2.08635950091	1.92012863081
ENSG00000142731.9	3.92283140613	3.95072717728	3.89254480155	3.78584935611	3.71186531118	3.69496530108	3.7552945393	3.6015952217	3.48585487367	3.45292385009	3.23967865643	3.26585067033
