row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
74	(0.001, 0.30000000000000004)	0.8561861949589945	0.0016841434200065585	0.3199872498012461	190	69	1.9528458141975384	0.0001974361728263041	0.006999999999999999
75	(0.001, 0.30000000000000004)	0.9481680617189264	0.00209121665993227	0.3973311653871314	190	87	2.187425769271845	0.0007120996022346171	0.016
76	(0.001, 0.30000000000000004)	0.9472835826317192	0.0015168189401214064	0.2881955986230672	190	71	2.0988809781988587	0.0004981583102000586	0.009000000000000001
77	(0.001, 0.30000000000000004)	0.7693617670151406	0.0007949055847519255	0.15103206110286585	190	46	1.656585602073103	5.143244393410185e-05	0.009000000000000001
78	(0.001, 0.30000000000000004)	0.8670043604660965	0.001182039878858131	0.2245875769830449	190	56	1.9571909088167871	0.0001136215686623754	0.005
79	(0.001, 0.30000000000000004)	0.8099798100408495	0.0007301510046630389	0.1387286908859774	190	42	1.935320706265952	4.777412838630202e-05	0.004
80	(0.001, 0.30000000000000004)	0.7811550111020351	0.0013136244539224476	0.2495886462452651	190	70	2.007504400258306	8.561472284021598e-05	0.005
81	(0.001, 0.30000000000000004)	0.6369729770406116	0.0006071381142979488	0.1153562417166103	190	44	2.1413108713991957	6.110828399880087e-06	0.004
82	(0.001, 0.30000000000000004)	0.9147109458534892	0.0012852972261698046	0.2442064729722629	190	73	2.0072751837508416	0.00012072309797075964	0.006
83	(0.001, 0.30000000000000004)	0.7784175821705678	0.0009152369311854275	0.17389501692523127	190	47	1.928995145663776	4.176767651539737e-05	0.005
84	(0.001, 0.30000000000000004)	0.7289262208717768	0.0014115805044242393	0.26820029584060545	190	67	2.062584207326808	5.310099262467727e-05	0.004
85	(0.001, 0.30000000000000004)	0.7630011611240188	0.0007353929483714918	0.1397246601905834	190	44	1.9229264154157053	2.0159383307571946e-05	0.005
86	(0.001, 0.30000000000000004)	0.7006196305802178	0.0008549612503980045	0.16244263757562086	190	51	1.912298622350685	1.8731392683130066e-05	0.008
87	(0.001, 0.30000000000000004)	0.9019678004139589	0.0009723223517680773	0.1847412468359347	190	63	2.184001465405062	0.00012144997270444048	0.011000000000000001
88	(0.001, 0.30000000000000004)	0.9618366618290892	0.0015035139009454911	0.2856676411796433	190	70	2.1697859547825726	0.0006896358453739037	0.006999999999999999
89	(0.001, 0.30000000000000004)	0.8956564896036271	0.0014415641753633894	0.27389719331904394	190	74	2.083605212391937	0.0002522145353340832	0.006
90	(0.001, 0.30000000000000004)	0.8339358661863929	0.0016038023718666975	0.3047224506546725	190	71	1.8107773081773768	0.00017095556023161151	0.006999999999999999
91	(0.001, 0.30000000000000004)	0.8047178670110997	0.0009612751995358283	0.18264228791180734	190	63	2.1861419203559582	6.980881182894194e-05	0.005
92	(0.001, 0.30000000000000004)	0.8599094735435543	0.0013698320580128936	0.2602680910224497	190	67	1.96733060853692	0.00012120383589725449	0.005
93	(0.001, 0.30000000000000004)	0.7719890010850723	0.0016922234459502015	0.3215224547305383	190	68	1.9394218964664056	9.786583941950866e-05	0.006
94	(0.001, 0.30000000000000004)	0.7894142326020457	0.0013195822007658427	0.25072061814551017	190	70	2.1121276360858827	8.290100215541107e-05	0.005
95	(0.001, 0.30000000000000004)	0.6806481762937242	0.001444596549433052	0.2744733443922799	190	63	1.9804128491533843	2.382835980074827e-05	0.005
96	(0.001, 0.30000000000000004)	0.5947927118504934	0.0007361447325243298	0.13986749917962266	190	44	1.9171098571149892	1.0023825066846069e-05	0.006999999999999999
97	(0.001, 0.30000000000000004)	0.8633261802305898	0.002192480403160927	0.4165712766005761	190	62	2.0904533207394094	0.00017450360588927571	0.264
98	(0.001, 0.30000000000000004)	0.8938961387449649	0.0017551931506911704	0.3334866986313224	190	83	1.9465181782127436	0.0002757928706681456	0.046
99	(0.001, 0.30000000000000004)	0.7747403954736902	0.0014771111750155163	0.2806511232529481	190	74	2.1318070949863697	0.0001196172876922752	0.115
